GSE100132
NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BSND	barttin CLCNK type accessory subunit beta [Source:HGNC Symbol;Acc:HGNC:16512]	4	2.226196765899658	0.04874347	Yes	
row_1	NCAM2	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]	12	1.9701836109161377	0.091712266	Yes	
row_2	FGF19	fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675]	152	1.146878957748413	0.11012832	Yes	
row_3	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]	176	1.1044076681137085	0.13328226	Yes	
row_4	FOLR1	folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]	203	1.059416651725769	0.15530048	Yes	
row_5	MIR124-1HG	MIR124-1 host gene [Source:HGNC Symbol;Acc:HGNC:27231]	226	1.0298115015029907	0.17686345	Yes	
row_6	HRH3	histamine receptor H3 [Source:HGNC Symbol;Acc:HGNC:5184]	365	0.8947298526763916	0.18978535	Yes	
row_7	VIPR2	vasoactive intestinal peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:12695]	415	0.8628389239311218	0.20635761	Yes	
row_8	VENTX	VENT homeobox [Source:HGNC Symbol;Acc:HGNC:13639]	430	0.8508593440055847	0.22437777	Yes	
row_9	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	450	0.8431075215339661	0.24198306	Yes	
row_10	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	515	0.8027600646018982	0.2565012	Yes	
row_11	SLC22A3	solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967]	604	0.761802613735199	0.26894554	Yes	
row_12	IGIP	IgA inducing protein [Source:HGNC Symbol;Acc:HGNC:33847]	615	0.7580577731132507	0.2851212	Yes	
row_13	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	663	0.7378795146942139	0.29904425	Yes	
row_14	TMEM151B	transmembrane protein 151B [Source:HGNC Symbol;Acc:HGNC:21315]	1051	0.6213309168815613	0.2937817	Yes	
row_15	PADI3	peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337]	1148	0.6012499332427979	0.30230543	Yes	
row_16	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	1376	0.5529485940933228	0.30336243	Yes	
row_17	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	1425	0.5451161861419678	0.312999	Yes	
row_18	RASGEF1C	RasGEF domain family member 1C [Source:HGNC Symbol;Acc:HGNC:27400]	1558	0.522821307182312	0.3180385	Yes	
row_19	DPPA2	developmental pluripotency associated 2 [Source:HGNC Symbol;Acc:HGNC:19197]	1651	0.5088906288146973	0.32472745	Yes	
row_20	FOXD3-AS1	FOXD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40241]	1671	0.5059667825698853	0.33492127	Yes	
row_21	TRPV6	transient receptor potential cation channel subfamily V member 6 [Source:HGNC Symbol;Acc:HGNC:14006]	1779	0.4884466826915741	0.34042743	Yes	
row_22	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	1813	0.483918696641922	0.34945208	Yes	
row_23	FBLL1	fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458]	2095	0.4394250512123108	0.34537324	Yes	
row_24	SLFN5	schlafen family member 5 [Source:HGNC Symbol;Acc:HGNC:28286]	2217	0.42471325397491455	0.3487938	Yes	
row_25	CUBN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	2254	0.41947221755981445	0.35625505	Yes	
row_26	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]	2377	0.4042913317680359	0.3591778	Yes	
row_27	PSD4	pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]	2576	0.38040703535079956	0.35785964	Yes	
row_28	SLC13A5	solute carrier family 13 member 5 [Source:HGNC Symbol;Acc:HGNC:23089]	2578	0.3801896572113037	0.36616856	Yes	
row_29	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]	2586	0.379123717546463	0.37416068	Yes	
row_30	MYZAP	myocardial zonula adherens protein [Source:HGNC Symbol;Acc:HGNC:43444]	2945	0.341412752866745	0.3641625	Yes	
row_31	SEZ6	seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]	3103	0.3273102045059204	0.3636817	Yes	
row_32	LOXL4	lysyl oxidase like 4 [Source:HGNC Symbol;Acc:HGNC:17171]	3123	0.3255501091480255	0.36990938	Yes	
row_33	GRAMD1C	GRAM domain containing 1C [Source:HGNC Symbol;Acc:HGNC:25252]	3152	0.32255029678344727	0.3756311	Yes	
row_34	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	3154	0.3223987817764282	0.38266957	Yes	
row_35	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	3303	0.3090534508228302	0.38222748	Yes	
