SYMBOL,datasets_count,datasets
SEMA3C,11,GSE100132;GSE136920;GSE205721;GSE208379;GSE217580;GSE219008;GSE233140;GSE239857;GSE240722;GSE278335;GSE34736
COL12A1,9,GSE100132;GSE136920;GSE159778;GSE205721;GSE208379;GSE217580;GSE234395;GSE278335;GSE34736
NAV3,9,GSE205721;GSE208379;GSE217580;GSE233140;GSE239857;GSE240722;GSE271430;GSE278335;GSE34736
NCAM2,8,GSE100132;GSE159778;GSE186207;GSE205721;GSE208379;GSE233140;GSE278335;GSE34736
PDE3A,8,GSE100132;GSE159778;GSE205721;GSE217580;GSE240722;GSE272779;GSE278335;GSE34736
RNF125,8,GSE159778;GSE219008;GSE233140;GSE234395;GSE240722;GSE272779;GSE278335;GSE34736
TGM2,8,GSE100132;GSE186207;GSE208379;GSE233140;GSE234395;GSE239857;GSE240722;GSE278335
FLRT3,7,GSE208379;GSE219008;GSE233140;GSE240722;GSE271430;GSE272779;GSE34736
FOLR1,7,GSE100132;GSE159778;GSE205721;GSE217580;GSE240722;GSE271430;GSE272779
GRAMD1C,7,GSE100132;GSE205721;GSE208379;GSE219008;GSE239857;GSE271430;GSE272779
HLA-DPA1,7,GSE100132;GSE159778;GSE186207;GSE205721;GSE208379;GSE272779;GSE34736
MSRB3,7,GSE136920;GSE217580;GSE233140;GSE234395;GSE240722;GSE278335;GSE34736
PAG1,7,GSE205721;GSE208379;GSE219008;GSE233140;GSE234395;GSE271430;GSE34736
RIPOR2,7,GSE186207;GSE208379;GSE217580;GSE219008;GSE233140;GSE239857;GSE34736
SKIL,7,GSE100132;GSE159778;GSE205721;GSE219008;GSE233140;GSE278335;GSE34736
SLC22A3,7,GSE100132;GSE159778;GSE205721;GSE208379;GSE239857;GSE278335;GSE34736
TNC,7,GSE100132;GSE136920;GSE186207;GSE205721;GSE208379;GSE217580;GSE240722
ANKRD44,6,GSE136920;GSE217580;GSE219008;GSE233140;GSE240722;GSE34736
CALCR,6,GSE100132;GSE159778;GSE205721;GSE208379;GSE219008;GSE233140
CHAC1,6,GSE100132;GSE159778;GSE186207;GSE208379;GSE233140;GSE271430
EDNRB,6,GSE159778;GSE205721;GSE208379;GSE219008;GSE272779;GSE278335
FNDC5,6,GSE136920;GSE205721;GSE217580;GSE240722;GSE272779;GSE34736
FOXO1,6,GSE159778;GSE217580;GSE239857;GSE240722;GSE278335;GSE34736
INHBE,6,GSE100132;GSE136920;GSE159778;GSE186207;GSE233140;GSE271430
LYST,6,GSE100132;GSE208379;GSE219008;GSE233140;GSE234395;GSE272779
PADI3,6,GSE100132;GSE136920;GSE159778;GSE208379;GSE271430;GSE278335
PLCE1,6,GSE217580;GSE219008;GSE240722;GSE271430;GSE278335;GSE34736
TMEM158,6,GSE205721;GSE217580;GSE233140;GSE234395;GSE271430;GSE278335
TNFRSF8,6,GSE136920;GSE159778;GSE205721;GSE208379;GSE239857;GSE272779
ADAM9,5,GSE205721;GSE217580;GSE233140;GSE234395;GSE34736
AGPAT4,5,GSE217580;GSE219008;GSE234395;GSE278335;GSE34736
CCDC80,5,GSE100132;GSE159778;GSE205721;GSE208379;GSE34736
CDH6,5,GSE205721;GSE208379;GSE239857;GSE278335;GSE34736
CYP7B1,5,GSE205721;GSE208379;GSE233140;GSE272779;GSE34736
