GSE100132
NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BSND	barttin CLCNK type accessory subunit beta [Source:HGNC Symbol;Acc:HGNC:16512]	4	2.226196765899658	0.0856447	Yes	
row_1	FGF19	fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675]	152	1.146878957748413	0.122705035	Yes	
row_2	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]	176	1.1044076681137085	0.16416913	Yes	
row_3	MIR124-1HG	MIR124-1 host gene [Source:HGNC Symbol;Acc:HGNC:27231]	226	1.0298115015029907	0.20149015	Yes	
row_4	HRH3	histamine receptor H3 [Source:HGNC Symbol;Acc:HGNC:5184]	365	0.8947298526763916	0.22926639	Yes	
row_5	VIPR2	vasoactive intestinal peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:12695]	415	0.8628389239311218	0.26014915	Yes	
row_6	VENTX	VENT homeobox [Source:HGNC Symbol;Acc:HGNC:13639]	430	0.8508593440055847	0.2922752	Yes	
row_7	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	515	0.8027600646018982	0.31913614	Yes	
row_8	SLC22A3	solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967]	604	0.761802613735199	0.3442229	Yes	
row_9	TMEM151B	transmembrane protein 151B [Source:HGNC Symbol;Acc:HGNC:21315]	1051	0.6213309168815613	0.3464511	Yes	
row_10	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	1376	0.5529485940933228	0.35198656	Yes	
row_11	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	1425	0.5451161861419678	0.37066698	Yes	
row_12	DPPA2	developmental pluripotency associated 2 [Source:HGNC Symbol;Acc:HGNC:19197]	1651	0.5088906288146973	0.37932697	Yes	
row_13	FOXD3-AS1	FOXD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40241]	1671	0.5059667825698853	0.39791077	Yes	
row_14	FBLL1	fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458]	2095	0.4394250512123108	0.39424548	Yes	
row_15	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]	2377	0.4042913317680359	0.39614388	Yes	
row_16	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]	2586	0.379123717546463	0.40062848	Yes	
row_17	SEZ6	seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]	3103	0.3273102045059204	0.3881091	Yes	
row_18	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	3303	0.3090534508228302	0.39033034	Yes	
row_19	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	3341	0.30563676357269287	0.40031266	Yes	
row_20	MARCHF4	membrane associated ring-CH-type finger 4 [Source:HGNC Symbol;Acc:HGNC:29269]	3476	0.2935256063938141	0.40510204	Yes	
row_21	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	3934	0.2573545575141907	0.39275983	No	
row_22	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	4102	0.24431867897510529	0.39404404	No	
row_23	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:5195]	4224	0.23500946164131165	0.39721048	No	
row_24	PDZD4	PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167]	4417	0.2216063141822815	0.39640093	No	
