GSE100132
NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	2643	0.37322768568992615	-0.09938868	No	
row_1	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	3199	0.31877589225769043	-0.10140294	No	
row_2	TSPO2	translocator protein 2 [Source:HGNC Symbol;Acc:HGNC:21256]	5368	0.162274569272995	-0.19421461	No	
row_3	ADORA2A	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]	5830	0.13696067035198212	-0.20591377	No	
row_4	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	5909	0.132218137383461	-0.1993402	No	
row_5	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	7701	0.05549871549010277	-0.28217432	No	
row_6	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	7709	0.055176399648189545	-0.27818725	No	
row_7	MRPL55	mitochondrial ribosomal protein L55 [Source:HGNC Symbol;Acc:HGNC:16686]	7836	0.05139797180891037	-0.28028956	No	
row_8	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	7924	0.04842120781540871	-0.28072682	No	
row_9	IFI6	interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]	8317	0.033156100660562515	-0.29720902	No	
row_10	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	8510	0.02580438181757927	-0.30453175	No	
row_11	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	8619	0.021641436964273453	-0.3080918	No	
row_12	MTG1	mitochondrial ribosome associated GTPase 1 [Source:HGNC Symbol;Acc:HGNC:32159]	8650	0.02064550668001175	-0.30793285	No	
row_13	SLC25A30	solute carrier family 25 member 30 [Source:HGNC Symbol;Acc:HGNC:27371]	8883	0.012624635361135006	-0.31823656	No	
row_14	SLC25A40	solute carrier family 25 member 40 [Source:HGNC Symbol;Acc:HGNC:29680]	9661	-0.013627000153064728	-0.35499266	No	
row_15	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	10171	-0.030733587220311165	-0.37736052	No	
row_16	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	10283	-0.03452861309051514	-0.38005581	No	
row_17	TIMM17B	translocase of inner mitochondrial membrane 17B [Source:HGNC Symbol;Acc:HGNC:17310]	10948	-0.055622562766075134	-0.408017	No	
row_18	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]	11107	-0.06043368577957153	-0.4109684	No	
row_19	TTC19	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]	11306	-0.06649281829595566	-0.4153917	No	
row_20	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	12056	-0.09035898000001907	-0.4447662	No	
row_21	NFS1	NFS1 cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910]	12395	-0.10061997175216675	-0.45332804	No	
row_22	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	12990	-0.11887504160404205	-0.4729203	No	
row_23	PDHX	pyruvate dehydrogenase complex component X [Source:HGNC Symbol;Acc:HGNC:21350]	13524	-0.13509927690029144	-0.4882705	Yes	
row_24	MRPL52	mitochondrial ribosomal protein L52 [Source:HGNC Symbol;Acc:HGNC:16655]	13752	-0.14282891154289246	-0.48811805	Yes	
row_25	SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	13851	-0.14574474096298218	-0.4814571	Yes	
row_26	ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	14113	-0.1538284718990326	-0.4820971	Yes	
row_27	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	14137	-0.1544649749994278	-0.4711011	Yes	
row_28	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	14242	-0.1579495072364807	-0.46377495	Yes	
row_29	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	14745	-0.17378020286560059	-0.47458202	Yes	
row_30	MRPL23	mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10322]	14784	-0.1749190092086792	-0.46271193	Yes	
row_31	SLC25A21	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]	14953	-0.18009918928146362	-0.456764	Yes	
row_32	PNPLA2	patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]	14956	-0.1802290380001068	-0.44272488	Yes	
row_33	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	14961	-0.18027731776237488	-0.42877936	Yes	
row_34	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	15322	-0.1918106973171234	-0.4312595	Yes	
row_35	GDAP1	ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]	15375	-0.1937774121761322	-0.41859177	Yes	
row_36	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	15542	-0.19940271973609924	-0.41103238	Yes	
row_37	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	15549	-0.19958430528640747	-0.39566985	Yes	
row_38	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	15596	-0.20107817649841309	-0.38213736	Yes	
row_39	ATP6V1E1	ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]	15597	-0.20112742483615875	-0.3663617	Yes	
row_40	SLC25A15	solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]	16147	-0.22115075588226318	-0.3757412	Yes	
row_41	MRPL14	mitochondrial ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:14279]	16479	-0.2333758920431137	-0.37354943	Yes	
row_42	MRPL28	mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]	16673	-0.2411884367465973	-0.36402693	Yes	
row_43	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	16787	-0.2463330328464508	-0.35020643	Yes	
row_44	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	16863	-0.24913056194782257	-0.33431664	Yes	
row_45	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	16952	-0.25283363461494446	-0.31876925	Yes	
row_46	TIMM10	translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]	16996	-0.25456804037094116	-0.30089518	Yes	
row_47	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	17351	-0.2704097628593445	-0.29691827	Yes	
