GSE100132
NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCAM2	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]	12	1.9701836109161377	0.100167535	Yes	
row_1	FOLR1	folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]	203	1.059416651725769	0.14509185	Yes	
row_2	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	450	0.8431075215339661	0.1762274	Yes	
row_3	IGIP	IgA inducing protein [Source:HGNC Symbol;Acc:HGNC:33847]	615	0.7580577731132507	0.20700686	Yes	
row_4	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	663	0.7378795146942139	0.24245201	Yes	
row_5	PADI3	peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337]	1148	0.6012499332427979	0.24962942	Yes	
row_6	RASGEF1C	RasGEF domain family member 1C [Source:HGNC Symbol;Acc:HGNC:27400]	1558	0.522821307182312	0.25644842	Yes	
row_7	TRPV6	transient receptor potential cation channel subfamily V member 6 [Source:HGNC Symbol;Acc:HGNC:14006]	1779	0.4884466826915741	0.27071336	Yes	
row_8	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	1813	0.483918696641922	0.29385313	Yes	
row_9	SLFN5	schlafen family member 5 [Source:HGNC Symbol;Acc:HGNC:28286]	2217	0.42471325397491455	0.29594722	Yes	
row_10	CUBN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	2254	0.41947221755981445	0.31564522	Yes	
row_11	PSD4	pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]	2576	0.38040703535079956	0.31946677	Yes	
row_12	SLC13A5	solute carrier family 13 member 5 [Source:HGNC Symbol;Acc:HGNC:23089]	2578	0.3801896572113037	0.33886033	Yes	
row_13	MYZAP	myocardial zonula adherens protein [Source:HGNC Symbol;Acc:HGNC:43444]	2945	0.341412752866745	0.3384964	Yes	
row_14	LOXL4	lysyl oxidase like 4 [Source:HGNC Symbol;Acc:HGNC:17171]	3123	0.3255501091480255	0.34652504	Yes	
row_15	GRAMD1C	GRAM domain containing 1C [Source:HGNC Symbol;Acc:HGNC:25252]	3152	0.32255029678344727	0.3616562	Yes	
row_16	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	3154	0.3223987817764282	0.37809443	Yes	
